Month;Total Fully Vaccinated;Total Tourist from ASEAN;Scenario 1;Scenario 2;Scenario 3
2021.Jan;50;53600;53600;53600;53600
2021.Feb;209657;42100;42100;42100;42100
2021.Mar;899924;47060;47060;47060;47060
2021.Apr;2987205;45000;45000;45000;45000
2021.May;7459119;;54399;84236;121531
2021.Jun;11250000;;58190;103190;159440
2021.Jul;;;64957;132093;216612
2021.Aug;;;58346;161801;274203
2021.Sep;;;65433;191509;331794
2021.Oct;;;64240;221217;389385
2021.Nov;;;62983;250925;446976
2021.Dec;;;69910;280633;504567
