Destination Country;Origin Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Brunei Darussalam;Total Country (World);214.290;242.061;209.108;3.279.160;3.885.537;218.213;218.809;258.955;278.136;333.244
Cambodia;Total Country (World);2.508.289;2.881.862;3.584.307;4.210.165;4.502.775;4.775.231;5.011.712;5.602.157;6.201.077;6.610.592
Indonesia;Total Country (World);7.002.944;7.649.731;8.044.462;8.802.129;9.435.411;10.406.759;11.519.275;14.039.799;15.810.305;16.106.954
Lao PDR;Total Country (World);2.513.028;2.723.564;3.330.072;3.779.490;4.158.719;4.684.429;4.239.047;3.868.838;4.186.432;4.791.065
Malaysia;Total Country (World);24.577.196;24.714.324;25.032.708;25.715.500;27.437.315;25.721.251;26.757.392;25.948.459;25.832.354;26.100.784
Myanmar;Total Country (World);791.507;816.369;1.058.995;2.044.307;3.081.413;4.681.020;2.907.207;3.443.133;3.549.428;4.364.101
Philippines;Total Country (World);3.520.471;3.917.454;4.272.811;4.681.307;4.833.368;5.360.682;5.967.005;6.620.908;7.127.678;8.260.913
Singapore;Total Country (World);11.638.663;13.171.303;14.491.185;15.567.916;15.095.152;15.231.469;16.403.595;17.424.611;18.508.302;19.113.842
Thailand;Total Country (World);15.936.400;19.098.323;22.353.903;26.546.725;24.779.768;29.881.091;32.529.588;35.591.978;38.178.194;39.797.406
Viet Nam;Total Country (World);5.049.855;6.014.031;6.847.678;7.572.352;7.874.312;7.943.651;10.012.735;12.922.151;15.497.791;18.008.591
ASEAN;Total Country (World);73.752.643;81.229.022;89.225.229;102.199.051;105.083.770;108.903.796;115.566.365;125.720.989;135.169.697;143.487.492
